"","iid","tr","ID_tr.x","begin.x","end.x","duration.x","belief_cost.x","kwh_led.x","kwh_cfl.x","yuan.x","belief_carbon.x","relative_1.x","relative_2.x","q1.x","q2.x","q3.x","q4.x","q5.x","q6.x","q7.x","q8.x","q9.x","q10.x","q11.x","q12.x","q13.x","q14.x","q15.x","r2_q1","r2_q2","r2_q3","r2_q4","r2_q5","r2_q6","r2_q7","r2_q8","r2_q9","r2_q10","r2_q11","r2_q12","r2_q13","r2_q14","r2_q15","income.x","home.x","own_bulb.x","w_price.x","w_life.x","w_energy.x","w_carbon.x","w_light.x","w_hg.x","cc_belief.x","cc_support_1.x","cc_support_2.x","cc_support_3.x","cc_support_4.x","cc_support_5.x","cc_support_6.x","cc_action_1.x","cc_action_2.x","cc_action_3.x","cc_action_4.x","ideal.x","purpose.x","purpose_other.x","self_monitor_1","self_monitor_2","self_monitor_3","self_monitor_4","self_monitor_5","self_monitor_6","country","prov","city","gender","age","degree","switch_1","switch_2","ID_tr.y","begin.y","end.y","duration.y","地理位置国家和地区","地理位置省","地理位置市","belief_cost.y","kwh_led.y","kwh_cfl.y","yuan.y","belief_carbon.y","relative_1.y","relative_2.y","q1.y","q2.y","q3.y","q4.y","q5.y","q6.y","q7.y","q8.y","q9.y","q10.y","q11.y","q12.y","q13.y","q14.y","q15.y","income.y","home.y","own_bulb.y","w_price.y","w_life.y","w_energy.y","w_carbon.y","w_light.y","w_hg.y","cc_belief.y","cc_support_1.y","cc_support_2.y","cc_support_3.y","cc_support_4.y","cc_support_5.y","cc_support_6.y","cc_action_1.y","cc_action_2.y","cc_action_3.y","cc_action_4.y","ideal.y","purpose.y","purpose_other.y","switch_1_new"
"152","o34xe0-J732HRKgB9pHwLz_GWjfo","C",59,"2021/1/7 17:19","2021/1/7 17:22",176,1,480,1000,3650,1,4,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2.4,1,4,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,"",3,2,2,2,2,2,"中国","广西壮族自治区","","B.女",25,"D.大学本科",2,2,2124,"2021/2/8 13:26","2021/2/8 13:29",136,"中国","广西壮族自治区","防城港市",1,0,800,800,1,5,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,0.7,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,"",2
"153","o34xe0-jb0GrE129ZHGtl49zcc8Y","E",126,"2021/1/7 17:17","2021/1/7 17:26",543,3,500,520,120,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,1,1,3,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,3,9,"",2,2,3,3,3,3,"中国","四川省","成都市","B.女",29,"C.大学专科",2,62,466,"2021/2/5 17:15","2021/2/5 17:17",118,"中国","四川省","成都市",3,30,100,100,1,5,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,10,1,1,3,3,2,2,2,1,1,1,1,1,1,3,3,1,1,1,1,3,2,"",30
"154","o34xe0-JptMF1GnMKMRFu3O1P0yQ","E",340,"2021/1/7 18:15","2021/1/7 18:26",702,3,292,290,80,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,30,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,5,"",1,1,1,2,2,1,"中国","天津市","天津市","B.女",30,"D.大学本科",2,2,421,"2021/2/5 17:09","2021/2/5 17:16",430,"中国","天津市","天津市",2,100,108,30,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3e+05,1,1,3,3,3,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,"",62
"157","o34xe0-k8RGf8XmDXeL8DUNGsssA","M",330,"2021/1/7 18:16","2021/1/7 18:30",856,1,7,21,50,2,NA,3,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,7,"",2,3,2,3,2,2,"中国","广东省","","B.女",40,"B.高中/中专/技校",50,62,1443,"2021/2/5 19:00","2021/2/5 19:13",761,"中国","广东省","",2,8,24,80,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10000,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,3,9,"",62
"158","o34xe0-kAMfPyFFyy2dbckSC7fT0","E",98,"2021/1/7 17:17","2021/1/7 17:24",413,3,3650,3000,422.5,3,NA,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,3,3,2,2,1,1,1,1,1,1,1,2,1,2,3,9,"",2,3,2,2,2,2,"中国","河南省","商丘市","B.女",38,"C.大学专科",18,62,393,"2021/2/5 17:12","2021/2/5 17:16",226,"中国","河南省","商丘市",1,300,260,25,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,4,9,"",10
"159","o34xe0-KvJOO0OBtW8axrhgWx9Vw","M",90,"2021/1/7 17:15","2021/1/7 17:24",518,2,100,150,50,2,NA,3,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,1,1,3,1,1,1,1,1,2,1,2,2,2,3,3,1,3,2,4,3,8,"",2,3,2,1,2,1,"中国","山西省","运城市","B.女",38,"C.大学专科",50,50,403,"2021/2/5 17:09","2021/2/5 17:16",405,"中国","山西省","运城市",1,87,100,13,2,NA,6,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,1,1,2,1,1,2,1,1,1,1,3,3,2,3,3,1,2,2,3,2,7,"",50
"160","o34xe0-kYLJT48nzEmh82pUx_4Es","E",464,"2021/1/8 13:33","2021/1/8 13:35",148,1,50,50,50,1,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30,1,1,3,3,3,3,3,3,1,2,1,1,1,1,1,1,2,2,2,4,1,"",1,1,1,1,1,1,"中国","北京市","北京市","A.男",27,"D.大学本科",62,62,1677,"2021/2/5 22:40","2021/2/5 22:43",147,"中国","河南省","",2,240,240,240,2,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,"",62
"162","o34xe0-lDEhF_movTC8ZtwvCh47c","M",326,"2021/1/7 18:19","2021/1/7 18:24",298,2,87.6,87.6,20,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,14,1,1,2,2,2,2,2,2,4,3,4,4,4,4,4,3,4,4,4,1,11,"闲的慌",1,2,2,1,3,1,"中国","江苏省","南京市","A.男",32,"C.大学专科",62,62,954,"2021/2/5 17:35","2021/2/5 17:39",256,"中国","江苏省","南通市",2,87.6,87.6,100,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,1,1,1,1,4,2,1,4,4,4,4,4,4,2,4,4,4,4,2,10,"",62
"164","o34xe0-LXL7-jDrU1AclEGsuq72Y","M",82,"2021/1/7 17:17","2021/1/7 17:23",409,1,240,230,1000,1,1,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,10,4,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,4,1,8,"",1,1,2,1,2,1,"韩国","","","B.女",26,"E.硕士及以上",18,18,247,"2021/2/5 17:10","2021/2/5 17:13",190,"韩国","","",2,240,240,438,2,NA,1,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,4,4,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,"",58
"165","o34xe0-LXPPHdkgnDdbqEqPJSGaE","C",226,"2021/1/7 17:31","2021/1/7 17:39",456,3,87.6,87.6,49,1,1,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,1,1,2,2,1,3,3,1,1,1,1,2,1,3,4,1,2,1,2,2,8,"",2,3,3,1,1,2,"中国","河南省","平顶山市","B.女",30,"D.大学本科",50,38,1872,"2021/2/7 11:47","2021/2/7 12:09",1322,"中国","河南省","平顶山市",3,87.6,87.6,87.6,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8,1,1,2,2,1,3,1,1,1,1,2,2,1,2,3,1,1,1,3,3,7,"",34
"166","o34xe0-M_VgqmC2FeP1IVtyX-4Eo","E",225,"2021/1/7 17:21","2021/1/7 17:40",1121,2,7,96,7,1,6,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,"",2,1,1,1,1,1,"中国","河北省","保定市","B.女",32,"D.大学本科",62,62,493,"2021/2/5 17:14","2021/2/5 17:17",235,"中国","河北省","保定市",2,2,4,50,2,NA,7,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,8,"",62
"167","o34xe0-MAq7WLm3yBxmtg78YKICo","M",336,"2021/1/7 18:24","2021/1/7 18:36",714,3,80,76,3,2,NA,6,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,4,7,"",2,3,2,2,2,2,"中国","安徽省","","B.女",39,"C.大学专科",58,50,1381,"2021/2/5 18:48","2021/2/5 18:52",284,"中国","北京市","北京市",2,35,35,22,2,NA,6,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,4,2,"",62
"169","o34xe0-Mjh1FPu3KM4eD1M_pk2jM","M",167,"2021/1/7 17:24","2021/1/7 17:32",458,1,100,50,250,1,5,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,"",1,2,2,2,2,1,"中国","广西壮族自治区","桂林市","B.女",42,"D.大学本科",2,62,1971,"2021/2/7 13:06","2021/2/7 13:08",176,"中国","广西壮族自治区","桂林市",2,40,40,50,2,NA,5,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,5,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,7,"",2
"170","o34xe0-msFn1XQwe6Bpf2lySXWfs","E",129,"2021/1/7 17:24","2021/1/7 17:27",158,2,30,60,10,2,NA,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,"",1,1,1,1,1,1,"中国","河北省","","B.女",26,"C.大学专科",2,18,1970,"2021/2/7 12:42","2021/2/7 13:08",1543,"中国","河北省","",2,15,15,15,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,50000,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,"",62
"171","o34xe0-nQjqQIE9dHbB-gnu542tM","E",454,"2021/1/8 10:11","2021/1/8 10:14",187,2,87,90,20,2,NA,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,25,1,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,3,2,3,2,9,"",2,2,1,2,2,2,"中国","重庆市","重庆市","A.男",28,"D.大学本科",2,2,1720,"2021/2/6 1:26","2021/2/6 1:28",99,"中国","重庆市","重庆市",2,50,65,20,1,3,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,130000,1,2,2,2,1,2,2,3,2,2,3,2,2,3,2,2,2,1,2,4,3,"",18
"173","o34xe0-NvKhsF2ReVR3qNHb2oKfU","E",288,"2021/1/7 17:54","2021/1/7 17:58",254,1,200,300,50,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,"",1,1,1,1,1,1,"中国","山东省","济宁市","B.女",32,"C.大学专科",6,22,767,"2021/2/5 17:25","2021/2/5 17:28",142,"中国","山东省","济宁市",2,500,600,600,1,6,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,5,7,"",2
"174","o34xe0-ogGn-eH2tIduXtu-z0BZk","C",431,"2021/1/7 21:35","2021/1/7 22:50",4494,2,5,5,5,1,1,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0.2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,"",2,2,2,2,2,2,"中国","湖南省","株洲市","B.女",32,"D.大学本科",34,30,703,"2021/2/5 17:17","2021/2/5 17:25",450,"中国","湖南省","",3,50,50,50,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,10,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,9,"",30
"175","o34xe0-ogiyuchxjJfbfyHTpC63w","E",40,"2021/1/7 17:17","2021/1/7 17:22",293,3,1,2,10,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.5,1,1,2,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,4,9,"",2,2,2,2,2,2,"中国","重庆市","重庆市","B.女",23,"C.大学专科",34,46,920,"2021/2/5 17:35","2021/2/5 17:37",122,"中国","重庆市","重庆市",2,5,6,88,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,5,6,"",62
"176","o34xe0-oidrc5-M-FsX_9IdCSalg","E",420,"2021/1/7 21:08","2021/1/7 21:12",210,2,500,480,1598,2,NA,4,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,35,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,"",1,1,1,1,1,1,"中国","浙江省","杭州市","B.女",34,"D.大学本科",2,2,447,"2021/2/5 17:12","2021/2/5 17:16",265,"中国","浙江省","",1,120,80,32,1,5,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,5,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,9,"",2
"178","o34xe0-phBRG-sZ7ROvwdAnENl0c","M",172,"2021/1/7 17:28","2021/1/7 17:33",287,3,86,86,0,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,"",1,1,1,1,1,1,"中国","浙江省","","B.女",32,"D.大学本科",62,62,502,"2021/2/5 17:15","2021/2/5 17:18",143,"中国","浙江省","",2,90,90,50,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,"",2
"180","o34xe0-Pn2QhOZq873ORP6qHm9J0","C",439,"2021/1/8 0:58","2021/1/8 1:11",751,2,20,30,8,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,2,1,2,1,2,2,3,1,2,1,2,2,3,4,4,2,3,2,2,4,9,"",3,2,1,3,2,2,"中国","广东省","深圳市","A.男",33,"B.高中/中专/技校",62,62,1717,"2021/2/6 1:00","2021/2/6 1:07",392,"中国","广东省","深圳市",2,5,8,5,2,NA,3,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,12,2,1,2,2,2,3,2,1,2,2,2,2,3,3,3,2,2,1,3,5,7,"",50
"183","o34xe0-QyUu-aT-AwaUlcKXov3jE","M",115,"2021/1/7 17:18","2021/1/7 17:26",467,2,35,50,35,2,NA,6,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30,1,2,1,1,2,1,1,1,2,1,1,1,1,2,3,1,2,1,4,5,1,"",2,3,2,3,3,1,"中国","上海市","上海市","A.男",31,"E.硕士及以上",54,62,1271,"2021/2/5 17:11","2021/2/5 18:23",4356,"中国","上海市","上海市",2,50,80,100,2,NA,3,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,30,1,2,2,1,2,3,1,1,2,1,2,1,1,1,1,1,1,1,3,4,9,"",58
"184","o34xe0-R5YBg8HjoiSR3565gTa4Y","M",129,"2021/1/7 17:17","2021/1/7 17:28",665,2,10,25,25,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1,3,4,9,"",1,2,2,2,2,2,"中国","四川省","成都市","A.男",32,"B.高中/中专/技校",62,62,918,"2021/2/5 17:30","2021/2/5 17:37",456,"中国","四川省","",2,25,10,100,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,1,1,2,2,1,2,3,2,2,2,2,3,2,3,3,1,2,1,3,4,3,"",62
"185","o34xe0-RFoNQzGKu1b7iZa12F9Yc","M",337,"2021/1/7 18:31","2021/1/7 18:36",278,1,300,200,1500,1,3,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,4,2,3,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,6,9,"",1,2,1,1,2,1,"中国","广东省","深圳市","B.女",31,"C.大学专科",2,34,262,"2021/2/5 17:09","2021/2/5 17:13",260,"中国","广东省","深圳市",2,289,65,264,1,1,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,13,4,2,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,9,"",2
"186","o34xe0-rjngaBkg_fxSy7rF9ukf4","E",50,"2021/1/7 17:17","2021/1/7 17:22",328,2,100,200,100,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,"",1,1,1,1,1,1,"中国","广东省","","A.男",35,"A.初中及以下",62,62,1158,"2021/2/5 17:57","2021/2/5 18:01",193,"中国","广东省","",2,200,300,100,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"",62
"188","o34xe0-RpUIYP_qYla1C-drZcsYs","M",66,"2021/1/7 17:18","2021/1/7 17:22",224,2,10,15,5,2,NA,5,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,2,2,1,1,2,1,1,2,2,2,1,2,3,2,1,1,1,1,2,3,"",2,1,2,1,1,2,"中国","山西省","","A.男",25,"E.硕士及以上",26,14,487,"2021/2/5 17:15","2021/2/5 17:17",129,"中国","河南省","郑州市",2,10,20,65,2,NA,4,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2000,1,1,1,2,2,1,1,2,1,3,2,3,2,2,3,1,1,2,1,2,8,"",30
"189","o34xe0-rpWsEfu3bKO-mC1i0tUa0","C",31,"2021/1/7 17:18","2021/1/7 17:20",165,3,1,30,12,2,NA,3,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,"",1,1,1,1,1,1,"中国","广东省","佛山市","B.女",45,"D.大学本科",38,58,140,"2021/2/5 17:09","2021/2/5 17:12",168,"中国","广东省","",1,80,85,100,2,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,15,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,8,"",26
"190","o34xe0-rsOJaZTUn5vO3SFxrQvQg","M",53,"2021/1/7 17:18","2021/1/7 17:21",185,2,8.76,8.76,4.82,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,"",1,1,1,1,1,1,"中国","河南省","开封市","B.女",31,"D.大学本科",34,14,519,"2021/2/5 17:14","2021/2/5 17:18",256,"中国","河南省","开封市",1,87.6,87.6,48.18,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,6,1,4,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,3,"",30
"192","o34xe0-RUD8-2A2Ba9C9jBHuTZxY","E",457,"2021/1/8 12:14","2021/1/8 12:35",1276,2,100,90,10,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,"",2,3,1,1,1,1,"中国","湖北省","武汉市","A.男",57,"A.初中及以下",62,62,1997,"2021/2/7 12:05","2021/2/7 13:52",6419,"中国","湖北省","宜昌市",3,80,80,69,2,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,10,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,"",26
"193","o34xe0-RXskkQfKubfx1ZLmmRI1U","M",143,"2021/1/7 17:24","2021/1/7 17:29",296,3,15,58,60,2,NA,3,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,7,1,1,3,2,3,3,2,1,1,1,2,2,2,2,2,1,1,1,1,3,2,"",1,1,1,1,1,1,"中国","四川省","南充市","B.女",35,"D.大学本科",50,42,1913,"2021/2/7 12:18","2021/2/7 12:21",144,"中国","四川省","南充市",3,128,50,58,1,3,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,7,"",34
"194","o34xe0-RY14BJZDnkhhgsbeXIPIo","M",381,"2021/1/7 19:46","2021/1/7 19:49",140,2,5,10,200,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,50,1,1,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,4,6,"",2,2,2,2,2,2,"中国","广东省","广州市","A.男",37,"D.大学本科",62,50,1688,"2021/2/5 23:02","2021/2/5 23:04",99,"中国","广东省","",2,10,10,10,2,NA,1,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,"",50
"195","o34xe0-s_5quzvELHH8Vz4OM8Si0","E",404,"2021/1/7 19:48","2021/1/7 20:25",2276,3,30,30,50,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1.8,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,"",2,2,2,2,2,2,"中国","吉林省","","A.男",52,"A.初中及以下",34,30,1019,"2021/2/5 17:35","2021/2/5 17:44",548,"中国","吉林省","",3,100,100,0,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,9,"",34
"196","o34xe0-S2Cz7o9-vHz1rA5D0qOig","E",274,"2021/1/7 17:50","2021/1/7 17:52",130,1,2,1,20,1,1,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,12,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,"",1,1,1,1,1,1,"中国","湖南省","","A.男",37,"C.大学专科",2,2,119,"2021/2/5 17:09","2021/2/5 17:11",156,"中国","湖南省","",1,100,50,30,1,1,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,120000,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,"",2
