"","iid","tr","ID_tr","begin","end","duration","belief_cost","kwh_led","kwh_cfl","yuan","belief_carbon","relative_1","relative_2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","r2_q1","r2_q2","r2_q3","r2_q4","r2_q5","r2_q6","r2_q7","r2_q8","r2_q9","r2_q10","r2_q11","r2_q12","r2_q13","r2_q14","r2_q15","income","home","own_bulb","w_price","w_life","w_energy","w_carbon","w_light","w_hg","cc_belief","cc_support_1","cc_support_2","cc_support_3","cc_support_4","cc_support_5","cc_support_6","cc_action_1","cc_action_2","cc_action_3","cc_action_4","ideal","purpose","purpose_other","self_monitor_1","self_monitor_2","self_monitor_3","self_monitor_4","self_monitor_5","self_monitor_6","country","prov","city","gender","age","degree","switch_1","switch_2"
"526","o34xe02fXxC56SGdVXpoXFmMwBcU","M",217,"2021/1/7 17:16","2021/1/7 17:40",1430,1,87.6,87.6,0,3,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4.5,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,"",2,2,3,1,3,2,"中国","安徽省","","B.女",29,"C.大学专科",50,62
"527","o34xe02g_71tG42YDU5QYXwMeKI8","M",27,"2021/1/7 17:15","2021/1/7 17:20",271,3,2,10,50,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,9,1,1,2,2,1,3,2,2,3,2,2,2,2,2,2,1,1,1,4,4,8,"",2,2,2,2,2,2,"中国","天津市","天津市","B.女",32,"C.大学专科",2,2
"528","o34xe02gfU7_o0yFYxSG_v1aqErM","C",358,"2021/1/7 18:41","2021/1/7 18:43",96,2,12,12,6,1,5,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,5,"",1,1,1,1,1,1,"中国","重庆市","重庆市","B.女",38,"B.高中/中专/技校",62,62
"529","o34xe02gjRT_cjYtEywow8_0G0J0","E",73,"2021/1/7 17:17","2021/1/7 17:23",395,3,88,88,200,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,2,2,2,2,2,2,1,1,2,1,1,3,2,2,1,4,3,6,"",2,3,2,3,3,3,"中国","内蒙古自治区","赤峰市","A.男",35,"D.大学本科",62,62
"530","o34xe02gQzTt-kolRvVMr2ZLhFQ4","C",6,"2021/1/7 17:16","2021/1/7 17:18",95,2,130,773,848484,1,2,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,0.1,4,1,1,3,2,1,2,1,1,4,3,3,4,2,3,2,1,2,3,1,9,"",1,4,1,1,2,1,"中国","广东省","汕头市","A.男",27,"D.大学本科",58,10
"531","o34xe02GtN9w2CpTzHhW0QV-OP08","M",155,"2021/1/7 17:23","2021/1/7 17:30",464,3,87,87,40,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,5,9,"",2,2,2,2,2,2,"中国","河南省","","B.女",32,"B.高中/中专/技校",30,62
"532","o34xe02H19-AiS7qxEfBmhaHQEtM","M",112,"2021/1/7 17:20","2021/1/7 17:26",346,1,100,80,10,1,8,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,2,4,9,"",2,3,2,1,2,2,"中国","湖北省","","B.女",31,"D.大学本科",6,62
"533","o34xe02i_CPShYiU52neEo-2IQvs","C",143,"2021/1/7 17:24","2021/1/7 17:27",202,2,15,14,18,1,4,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,10,"",1,1,1,1,1,1,"中国","河北省","","A.男",36,"D.大学本科",2,2
"534","o34xe02iHAt_xuzFr55tWPRmIHog","E",370,"2021/1/7 17:53","2021/1/7 18:58",3874,2,1,100,99,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,"",1,1,1,1,1,1,"中国","北京市","北京市","A.男",32,"D.大学本科",62,62
"535","o34xe02iiMMixA3MuepbiM-YPDTs","E",47,"2021/1/7 17:19","2021/1/7 17:22",182,1,240,260,50,1,3,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,4,1,3,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,1,5,1,"",2,2,2,2,1,2,"中国","山东省","","B.女",20,"D.大学本科",14,30
"536","o34xe02IL_SaQEMiNR1lZ97_ebmo","C",257,"2021/1/7 17:38","2021/1/7 17:47",526,2,40,50,15,1,4,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,8,1,1,1,1,1,3,2,3,1,1,1,1,1,4,4,1,1,1,2,6,9,"",1,2,1,1,2,1,"中国","福建省","","B.女",30,"C.大学专科",50,50
"538","o34xe02iru5Xz6frgFZwnb9cVBT4","E",291,"2021/1/7 17:51","2021/1/7 17:59",519,1,180,90,500,1,3,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,3,3,11,"怎样应对全球变暖",2,3,3,3,3,3,"中国","陕西省","西安市","B.女",31,"D.大学本科",2,62
"541","o34xe02iZoTzMtkFwNXOMlKlq6E4","C",377,"2021/1/7 18:58","2021/1/7 19:14",987,2,18,35,11,3,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1.8,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,"",1,1,2,1,2,2,"中国","河南省","平顶山市","A.男",36,"D.大学本科",42,42
"542","o34xe02J_VsoHksJLYpi9lhzgCzY","M",445,"2021/1/8 9:35","2021/1/8 9:40",289,3,20,30,120,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,4,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,6,11,"中国特色社会主义下，面对“先污染，后治理”的大困境，人们已经不知道环境污染多严重了，空气、水源、土地……。政策，经常是两面派，说的好听，做的……",3,3,1,1,2,2,"中国","四川省","雅安市","B.女",22,"D.大学本科",62,62
"543","o34xe02Jc2VQhtkXeFyjinXAGFXw","C",427,"2021/1/7 22:10","2021/1/7 22:16",332,3,50,60,10,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,10,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,8,"",2,2,2,2,2,2,"中国","河北省","石家庄市","B.女",42,"B.高中/中专/技校",62,42
"544","o34xe02jEN8vHn1ENVRgtiClf6Wk","E",302,"2021/1/7 17:46","2021/1/7 18:05",1123,2,40,60,30,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,5,1,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,4,8,"",2,2,2,1,1,1,"中国","河北省","","A.男",46,"B.高中/中专/技校",62,62
"546","o34xe02jxfILMbox4dQ3ZSegTdLE","M",187,"2021/1/7 17:26","2021/1/7 17:35",525,1,80,50,15,1,6,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,12,1,3,2,1,1,3,2,1,2,1,2,2,1,1,1,1,2,1,2,4,3,"",2,3,2,1,2,2,"中国","河南省","信阳市","A.男",27,"D.大学本科",10,6
"547","o34xe02K_iH9BFycmAKAli5TD-g0","C",249,"2021/1/7 17:24","2021/1/7 17:45",1226,3,0,0,0,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,8,5,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,11,"",1,2,2,2,2,3,"中国","四川省","绵阳市","A.男",26,"D.大学本科",30,30
"549","o34xe02kw7BS1K503z7fMlq4br-g","C",67,"2021/1/7 17:20","2021/1/7 17:22",172,3,1,1,1,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,2,2,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,9,"",2,2,2,2,2,2,"中国","广东省","广州市","A.男",29,"C.大学专科",62,62
"550","o34xe02l_5l_ioldYhVwodytCu0w","M",26,"2021/1/7 17:15","2021/1/7 17:20",246,2,50,6,100,2,NA,2,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,1,1,2,2,2,2,1,1,1,1,2,1,3,2,3,1,3,1,2,5,1,"",1,2,2,2,1,1,"中国","辽宁省","阜新市","B.女",38,"D.大学本科",34,50
"551","o34xe02LeQ8lcB_Xj3rlbB2CkzSk","E",426,"2021/1/7 21:20","2021/1/7 21:37",985,2,15,20,35,2,NA,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,4,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,"",1,1,1,1,1,1,"中国","广东省","","A.男",31,"D.大学本科",2,2
"556","o34xe02mPuxFIgXUsDE2j-opnNOE","C",242,"2021/1/7 17:40","2021/1/7 17:42",113,1,200,350,80,1,6,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,20,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,"",1,1,1,2,1,2,"中国","河南省","濮阳市","A.男",54,"D.大学本科",2,2
"557","o34xe02N_H0BXn2YsB_xYbLRSN-w","E",5,"2021/1/7 17:17","2021/1/7 17:18",107,3,180,160,200,1,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,9,"",2,2,2,2,2,2,"中国","广东省","广州市","A.男",39,"A.初中及以下",62,62
"558","o34xe02NAVjAMSXRU7HohOordjg8","M",321,"2021/1/7 18:20","2021/1/7 18:23",162,1,200,300,200,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,2,4,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,5,4,"",1,1,1,1,2,1,"中国","广东省","","B.女",28,"D.大学本科",62,62
"560","o34xe02NVBdmLszDFeGN0O993Fhs","M",241,"2021/1/7 17:40","2021/1/7 17:45",269,2,50,60,50,2,NA,6,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,1,3,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,4,8,"",1,3,2,2,1,2,"中国","河北省","石家庄市","B.女",31,"C.大学专科",2,62
"561","o34xe02nWNZ8wyP35BMkVibMd7w8","M",171,"2021/1/7 17:30","2021/1/7 17:33",138,2,50,35,200,2,NA,3,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,"",1,1,1,1,1,2,"中国","吉林省","延边朝鲜族自治州","A.男",27,"D.大学本科",30,62
"562","o34xe02OfjBIP2r5eYDeNJrwiWSc","E",341,"2021/1/7 17:56","2021/1/7 18:26",1850,1,100,80,60,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,10,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,3,9,"",1,1,1,1,1,1,"中国","安徽省","宿州市","B.女",31,"B.高中/中专/技校",62,30
"564","o34xe02oUp8JLzkVdOzwLFpYLVSA","M",446,"2021/1/8 9:43","2021/1/8 9:48",315,3,87.6,87.6,0,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,10,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,1,"",2,2,3,2,2,2,"中国","江苏省","南京市","B.女",31,"D.大学本科",30,30
"565","o34xe02ouPVGPrKsny1TF4Je_Eqw","E",156,"2021/1/7 17:26","2021/1/7 17:29",212,1,2400,3000,200,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,2,2,2,2,2,1,3,3,3,3,3,3,2,2,2,2,3,4,"",2,1,2,1,2,1,"中国","辽宁省","丹东市","A.男",40,"B.高中/中专/技校",62,62
"567","o34xe02oyeiZ1wk4kzGjlYtQDBRo","E",257,"2021/1/7 17:39","2021/1/7 17:47",468,3,525.6,525.6,0,2,NA,1,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,"",1,1,1,1,1,1,"中国","安徽省","芜湖市","A.男",33,"A.初中及以下",58,58
"569","o34xe02PFQKMOcGVVL-g_yXhwUIM","E",250,"2021/1/7 17:39","2021/1/7 17:46",414,2,84,160,160,2,NA,5,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,3,1,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,4,9,"",1,3,3,1,1,3,"中国","江西省","萍乡市","B.女",30,"B.高中/中专/技校",58,54
"570","o34xe02pOe1UIPW1LMtqV07O_778","E",222,"2021/1/7 17:31","2021/1/7 17:38",434,3,350,350,1050,1,3,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,"",1,1,1,1,1,1,"中国","广西壮族自治区","百色市","A.男",30,"D.大学本科",30,34
"571","o34xe02pQAXrCBehgndaPP7Ft2MA","C",5,"2021/1/7 17:16","2021/1/7 17:18",86,2,200,150,100,2,NA,4,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,"",1,1,1,1,1,1,"中国","北京市","北京市","A.男",20,"B.高中/中专/技校",2,2
"572","o34xe02qjDVeY6OM1_oJT7Sf8X4I","E",3,"2021/1/7 17:17","2021/1/7 17:18",58,2,200,280,100,1,6,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,9,"",1,1,1,1,1,1,"中国","广东省","佛山市",NA,NA,NA,62,22
"573","o34xe02r1ITf6U6aE-rdSsvlhFp8","C",43,"2021/1/7 17:20","2021/1/7 17:21",82,1,30,68,48,2,NA,4,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,20,3,1,1,2,1,2,1,4,1,3,3,1,1,2,1,1,1,2,1,2,3,"",1,2,4,1,3,2,"中国","广东省","广州市","B.女",53,"D.大学本科",38,10
"574","o34xe02r9HtVxaVeDyyw7L2j27Wk","C",18,"2021/1/7 17:17","2021/1/7 17:19",121,3,1,1,5,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,"",1,1,1,1,1,1,"中国","河南省","","B.女",39,"D.大学本科",38,62
"575","o34xe02rBKu1B7bcJf3X_6YApj4s","C",124,"2021/1/7 17:20","2021/1/7 17:26",318,1,12000,8000,2000,1,2,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.4,4,4,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,6,3,"",2,2,1,3,2,2,"中国","广东省","广州市","B.女",20,"C.大学专科",42,50
"577","o34xe02rTSYlQsLMqm2gaSMwStok","C",68,"2021/1/7 17:19","2021/1/7 17:23",212,1,250,400,800,1,6,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,50,2,1,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,"",1,1,1,1,1,1,"中国","广东省","广州市","A.男",59,"B.高中/中专/技校",2,2
"579","o34xe02rVqdfJ63LRWUoJrNengGA","E",264,"2021/1/7 17:43","2021/1/7 17:49",351,2,20,50,30,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,1,2,3,1,1,1,1,1,1,1,4,4,1,3,1,1,5,1,"",2,3,3,2,1,2,"中国","北京市","北京市","A.男",34,"C.大学专科",62,62
"581","o34xe02sfEi5iXpnMdUx6CXaEToo","E",428,"2021/1/7 21:29","2021/1/7 21:38",562,1,96,90,6,1,2,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8,3,3,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,3,9,"",2,2,2,2,2,2,"中国","湖北省","武汉市","B.女",29,"B.高中/中专/技校",14,58
"582","o34xe02sv8UGpStmf5gi4EjVpB60","E",170,"2021/1/7 17:20","2021/1/7 17:31",671,2,6,22,16,2,NA,3,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,20,3,2,1,1,2,4,2,2,2,1,1,1,2,1,1,1,1,1,4,4,1,"",3,3,2,2,2,2,"中国","广东省","深圳市","B.女",34,"E.硕士及以上",50,50
"583","o34xe02sWiAUP80SbuyWtDGgucY8","C",267,"2021/1/7 17:47","2021/1/7 17:53",313,2,100,200,70,2,NA,5,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,1,4,1,1,2,1,2,2,2,2,3,3,2,3,3,3,3,3,3,2,9,"",1,2,2,2,2,1,"中国","上海市","上海市","A.男",34,"C.大学专科",34,34
"585","o34xe02U02hPXxYz1W1Ob7g_3kbM","C",30,"2021/1/7 17:18","2021/1/7 17:20",158,1,100,130,50,1,2,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,1,2,3,4,4,9,"",2,3,2,2,2,2,"中国","广东省","广州市","B.女",33,"D.大学本科",38,38
"586","o34xe02uF-7wfM_Trxq07Jox2yqI","M",382,"2021/1/7 19:45","2021/1/7 19:49",255,1,1168,712,650,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,10,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,5,11,"节能灯泡的调研，对环境的影响",2,2,1,2,2,2,"中国","广东省","","B.女",25,"D.大学本科",6,6
"588","o34xe02uTwod30O_K7FUEybsfwW0","M",452,"2021/1/8 12:15","2021/1/8 12:19",214,2,2,5,1,2,NA,5,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,9,1,2,1,1,1,3,1,2,3,2,2,1,2,3,3,1,3,1,4,3,1,"",2,2,3,2,3,3,"中国","北京市","北京市","B.女",45,"D.大学本科",50,50
"591","o34xe02V0fbWP3T17xJGN-IXOk6s","E",294,"2021/1/7 17:51","2021/1/7 18:01",614,1,60,40,10,1,6,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,50,1,4,2,2,2,3,2,1,2,1,1,2,2,2,2,2,2,2,4,4,8,"",2,2,2,2,2,3,"中国","山东省","泰安市","A.男",34,"D.大学本科",2,50
"593","o34xe02VdCHLc0xCsiCzbVyyAJBs","E",245,"2021/1/7 17:26","2021/1/7 17:45",1143,3,87,87,60,2,NA,1,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,5,1,2,2,1,1,3,2,2,1,1,1,1,2,2,2,1,1,1,1,4,3,"",2,3,2,1,2,2,"中国","江苏省","","B.女",35,"D.大学本科",2,2
"595","o34xe02vGmO3T2_uBDDtcjSfS9i0","M",73,"2021/1/7 17:20","2021/1/7 17:23",166,3,500,800,550,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,8,1,4,4,2,1,2,2,1,2,2,4,2,3,2,4,3,4,1,2,3,9,"",3,2,2,3,2,3,"中国","江苏省","南京市","A.男",22,"B.高中/中专/技校",38,14
"596","o34xe02Votz0vIizjA3YWdVRFXSI","C",367,"2021/1/7 18:48","2021/1/7 18:59",681,3,73,73,0,2,NA,4,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,8,1,1,2,2,2,2,2,1,1,1,2,2,1,2,4,1,1,1,3,5,3,"",2,4,2,1,2,2,"中国","湖北省","襄阳市","A.男",34,"B.高中/中专/技校",58,50
"598","o34xe02VVWNmn6q-NZA1gp6c1yPU","M",176,"2021/1/7 17:26","2021/1/7 17:34",465,2,50,60,6,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,4,1,2,1,1,2,1,1,1,2,2,2,1,2,3,2,2,1,2,4,11,"节能环保问题的调查",2,2,2,2,2,2,"中国","上海市","上海市","B.女",23,"E.硕士及以上",62,62
"599","o34xe02VYMeMQl69oc1Dap2OKS7E","M",364,"2021/1/7 19:03","2021/1/7 19:19",928,2,87.6,87.6,0,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,1,1,3,1,1,1,2,1,2,2,2,2,2,1,4,1,2,2,3,3,2,"",1,1,1,1,2,1,"中国","黑龙江省","","B.女",31,"C.大学专科",14,54
"601","o34xe02W1GlyeTNRF75nLLnAy0Ag","E",319,"2021/1/7 18:09","2021/1/7 18:14",293,3,50,50,100,2,NA,5,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,"",1,1,1,1,1,1,"中国","广西壮族自治区","南宁市","B.女",38,"C.大学专科",34,42
"602","o34xe02wwjyp-7ufvQ0podcFCEdI","M",420,"2021/1/7 21:35","2021/1/7 22:13",2261,1,87600,87600,87600,2,NA,6,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,10,1,2,1,2,1,2,1,1,4,2,4,2,1,1,1,1,1,1,1,6,1,"",1,2,1,1,1,1,"中国","河南省","","B.女",50,"A.初中及以下",10,50
"603","o34xe02XWc8nt1uux8FOo6O_uVVQ","C",363,"2021/1/7 18:42","2021/1/7 18:53",694,2,43,86,43,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,2,2,3,2,1,1,1,1,1,1,1,4,2,2,1,2,4,2,"",2,2,2,2,2,2,"中国","河南省","平顶山市","B.女",30,"B.高中/中专/技校",62,62
